public_metrics,text,created_at,author_id,id,source,lang,cleaned_text
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 30, 'quote_count': 0}","Sold out of almost everything I brought to the artisan market yesterday. 

Received three online orders while I was there. 

Today, a retailer who ordered a few last week came back asking to get 24 of one of the scents today.

'Tis candle season! &lt;3",2022-09-26T16:27:25.000Z,17770958,1574435482741645315,TweetDeck,en,Sold almost everything brought artisan market yesterday Received three online orders while there Today retailer ordered last week came back asking scents today candle season
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",@Hereticalturf @TheatreSpoonie @notCursedE when you were younger if you bought something online did that retailer reach out to your parents to ask if it was alright?,2022-09-26T16:10:08.000Z,816241265570414592,1574431132631932929,Twitter for iPhone,en,Hereticalturf TheatreSpoonie notCursedE when were younger bought something online that retailer reach your parents alright
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Ever wanted to sell your products in a retailer's store or online? We'll show you how.

Join us and @youngfoodies Tuesday 11 October at 11:00am, to get practical knowledge on all aspects of getting retail ready.

Register your place now:
https://t.co/SvfDQrqqaA https://t.co/3LLhypmgBG",2022-09-26T15:53:01.000Z,58776287,1574426824360267776,HubSpot,en,Ever wanted sell your products retailers store online Well show Join youngfoodies Tuesday October practical knowledge aspects getting retail ready Register your place httpstcoSvfDQrqqaA httpstcoLLhypmgBG
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",We’re proud to announce that we’ll now be stocked at @thebeautycrewuk – a brand new beauty retailer! We’re delighted to be starting this adventure with The Beauty Crew. You can shop QV Skincare online at: https://t.co/DEUTdIctnu #beyoubebeautiful #thebeautycrewuk #tbc https://t.co/3Jxe9HNqpQ,2022-09-26T15:30:02.000Z,1179754248,1574421042164105218,HubSpot,en,We’re proud announce that we’ll stocked thebeautycrewuk brand beauty retailer We’re delighted starting this adventure with Beauty Crew shop Skincare online httpstcoDEUTdIctnu beyoubebeautiful thebeautycrewuk httpstcoJxeHNqpQ
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","“New data indicates pet owners might be splurging less on their furry companions. Shares of online retailer Chewy are down more than 35% this year.” Have you been sending less on toys or treats for your furry friends this year? 

https://t.co/OOlvaFwe45",2022-09-26T15:15:07.000Z,983094294188908546,1574417286542376961,Sprout Social,en,“New data indicates owners might splurging less their furry companions Shares online retailer Chewy down more than this year” Have been sending less toys treats your furry friends this year httpstcoOOlvaFwe
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Today it is easier than ever to add commerce to your website. However, even if you are a successful bricks and mortar retailer, taking that business online is very different. Here we consider some of the factors you should consider: https://t.co/D2fOWJdwEN #commerce #ecommerce https://t.co/I3eDjTi0WF",2022-09-26T14:53:36.000Z,2717542273,1574411872916439040,Hootsuite Inc.,en,Today easier than ever commerce your website However even successful bricks mortar retailer taking that business online very different Here consider some factors should consider httpstcoDfOWJdwEN commerce ecommerce httpstcoIeDjTiWF
"{'retweet_count': 88, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @topship_africa: Meet Ozinna Anumudu, founder of https://t.co/j4tWKkOQRN, a leading online fashion retailer in Lagos, Nigeria. 

Ozinna…",2022-09-26T14:51:11.000Z,1539308050489610240,1574411266562605063,Twitter for Android,en,topshipafrica Meet Ozinna Anumudu founder httpstcojtWKkOQRN leading online fashion retailer Lagos Nigeria Ozinna…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@EVHTN The same sort of problem here  .  and online chat is a farce.  
Retailer says despatched -  Evri say it's scheduled to collect.

They are ruining the reputations of reputable retailers",2022-09-26T14:47:41.000Z,377914002,1574410385490419713,Twitter Web App,en,EVHTN same sort problem here online chat farce Retailer says despatched Evri scheduled collect They ruining reputations reputable retailers
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@kevinmd84 Hi Kevin. We're sorry to hear about your experience. Sags greater than 1"" are generally covered. Please contact the original retailer to start a warranty claim. If the retailer directs you back to Serta, you may file a claim via our online form: https://t.co/q0X6H6MuQT",2022-09-26T14:37:30.000Z,106515859,1574407823840124928,Sprout Social,en,kevinmd Kevin Were sorry hear about your experience Sags greater than generally covered Please contact original retailer start warranty claim retailer directs back Serta file claim online form httpstcoqXHMuQT
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Retailers continuously work to develop in-store and online technology.

A cyber attack can also expose customers’ personal data – resulting in hefty fines, penalties, data loss, financial losses, and reputational damage.

If you are a retailer – the NEBRC is here to help. https://t.co/hfbVVlm5OU",2022-09-26T14:01:04.000Z,1178726663296880640,1574398651597725701,Hootsuite Inc.,en,Retailers continuously work develop instore online technology cyber attack also expose customers’ personal data resulting hefty fines penalties data loss financial losses reputational damage retailer NEBRC here help httpstcohfbVVlmOU
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Online flooring retailer lends support to the RSPCA in Coventry 🤝💪

#WarksBiz #WarksNews #WarksHour #BusinessNews
https://t.co/UIph43qJFK",2022-09-26T14:00:56.000Z,822041703045562369,1574398621625229315,Hootsuite Inc.,en,Online flooring retailer lends support RSPCA Coventry WarksBiz WarksNews WarksHour BusinessNews httpstcoUIphqJFK
"{'retweet_count': 249, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @TakeMeLeics: Win a £50 Online Shopping voucher of YOUR choice
To enter  
1] LIKE or ♥   
2] SHARE or Retweet
3] COMMENT or TWEET us whi…",2022-09-26T13:54:32.000Z,28596880,1574397009578295296,Twitter Web App,en,TakeMeLeics Online Shopping voucher YOUR choice enter LIKE SHARE Retweet COMMENT TWEET whi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Our Mythical Beasts collection ranges from majestic (a phoenix) to menacing (a jackalope) to pretty adorable (Nessie). Shop at your local OESD retailer, or online here --&gt; https://t.co/eN8W0XtZs9 🐉🛒🦄 https://t.co/vsiyrUyy5t",2022-09-26T13:44:40.000Z,1244637076244574208,1574394526424236035,Loomly,en,Mythical Beasts collection ranges from majestic phoenix menacing jackalope pretty adorable Nessie Shop your local OESD retailer online here httpstcoeNWXtZs httpstcovsiyrUyyt
"{'retweet_count': 249, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @TakeMeLeics: Win a £50 Online Shopping voucher of YOUR choice
To enter  
1] LIKE or ♥   
2] SHARE or Retweet
3] COMMENT or TWEET us whi…",2022-09-26T13:39:48.000Z,33014050,1574393301192519682,Twitter Web App,en,TakeMeLeics Online Shopping voucher YOUR choice enter LIKE SHARE Retweet COMMENT TWEET whi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Amazon rises pre-market on sales news

🛍️The online retailer announced a new prime day sale in October

This should boost holiday revenue &amp; appeal to squeezed households

#AMZN  +0.4%
-
#tixee #marketupdate

Trading is risky.",2022-09-26T13:28:51.000Z,1356612951189426176,1574390544930848771,Hootsuite Inc.,en,Amazon rises premarket sales news 🛍️The online retailer announced prime sale October This should boost holiday revenue appeal squeezed households AMZN tixee marketupdate Trading risky
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","https://t.co/lyoDbjZUWm 
#BritishAirways #TheWineFlyer #Avios #Breitflyte #avgeek #avgeeks #aviation #airlines",2022-09-26T13:24:34.000Z,1160193529232199681,1574389467821088770,Twitter Web App,qme,httpstcolyoDbjZUWm BritishAirways TheWineFlyer Avios Breitflyte avgeek avgeeks aviation airlines
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Online retailer https://t.co/VAdjWZqd6S is to shed more than a third of its workforce due to the deteriorating market conditions🙁

Made will also consolidate its supply chain in Europe and Vietnam, closing its operation in China😮

#CostOfLiving #Online 

https://t.co/AfGW92EhjK",2022-09-26T13:19:14.000Z,52816716,1574388124641288193,Twitter Web App,en,Online retailer httpstcoVAdjWZqdS shed more than third workforce deteriorating market conditions🙁 Made will also consolidate supply chain Europe Vietnam closing operation China😮 CostOfLiving Online httpstcoAfGWEhjK
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Global footwear and clothing brand @Woodland is all set for a change!

#woodland #retailer #retailnews

https://t.co/oiUdZHiWor",2022-09-26T13:07:13.000Z,2719361006,1574385099650441216,Twitter Web App,en,Global footwear clothing brand Woodland change woodland retailer retailnews httpstcooiUdZHiWor
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","United Kingdom Jobs Vacancy For :
DELIVERY DRIVER - FREE VAN, FUEL, INSURANCE - £117 PER DAY - Malooba | UK OPHIRED

Delivery drivers wanted. Ready to start. Malooba is a highly-rated delivery company working with a well known online retailer in Plymouth. We’re looking for m…",2022-09-26T13:04:08.000Z,1554760057572966401,1574384324887154697,IFTTT,en,United Kingdom Jobs Vacancy DELIVERY DRIVER FREE FUEL INSURANCE Malooba OPHIRED Delivery drivers wanted Ready start Malooba highlyrated delivery company working with well known online retailer Plymouth We’re looking
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations Nua on being recognized as one of the top 100 D2C brands in India at D2C 100.

Tata 1mg GreenHonchos

#D2C100 #D2CIndia #IndianRetailer #Retailer #Ecommerce #Online #D2C #SocialCommerce #Commerce https://t.co/nrMdYIG4Jn",2022-09-26T12:45:15.000Z,188264868,1574379574229704708,Hootsuite Inc.,en,Congratulations being recognized brands India Tata GreenHonchos DCIndia IndianRetailer Retailer Ecommerce Online SocialCommerce Commerce httpstconrMdYIGJn
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Secret Sales, a marketplace for fashion, #sportswear and beauty brands, has announced a partnership with PUMA.

#puma #retailer #retailnews

https://t.co/0xe2RcR7JI",2022-09-26T12:45:00.000Z,2719361006,1574379509586939904,Twitter Web App,en,Secret Sales marketplace fashion sportswear beauty brands announced partnership with PUMA puma retailer retailnews httpstcoxeRcRJI
"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @SimonHodgsonLCC: @simonotstreets @Nathaz180 @dusk_uk ⬆️⬆️⬆️ The event aims to raise awareness⬆️⬆️⬆️
Dusk, the online homeware retailer,…",2022-09-26T12:43:24.000Z,460343427,1574379106686337024,Twitter Web App,en,SimonHodgsonLCC simonotstreets Nathaz duskuk ⬆️⬆️⬆️ event aims raise awareness⬆️⬆️⬆️ Dusk online homeware retailer…
"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @SimonHodgsonLCC: @simonotstreets @Nathaz180 @dusk_uk ⬆️⬆️⬆️ The event aims to raise awareness⬆️⬆️⬆️
Dusk, the online homeware retailer,…",2022-09-26T12:33:52.000Z,1024232215331438592,1574376707099955202,Twitter for iPhone,en,SimonHodgsonLCC simonotstreets Nathaz duskuk ⬆️⬆️⬆️ event aims raise awareness⬆️⬆️⬆️ Dusk online homeware retailer…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@ballzeebeatbox Hi @ballzeebeatbox. 
As an online retailer, we sell tickets on behalf of the train operators who set the prices. Here are some ways to find cheaper tickets:&gt;https://t.co/cZuq7XPzir
Hope this helps,
~Vero",2022-09-26T12:28:49.000Z,20767880,1574375438872461315,Verint Messaging,en,ballzeebeatbox ballzeebeatbox online retailer sell tickets behalf train operators prices Here some ways find cheaper ticketsgthttpstcocZuqXPzir Hope this helps Vero
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Retail e-commerce #packaging is the #packaging of #products ordered #online through e-commerce websites, which #reaches from #retailer to the end #consumer.

Get Detailed Analysis #Retail E-Commerce #Packaging:
https://t.co/TNpOX24VuF https://t.co/37LJEFwttv",2022-09-26T12:18:42.000Z,1567762099513999361,1574372892955250688,Twitter Web App,en,Retail ecommerce packaging packaging products ordered online through ecommerce websites which reaches from retailer consumer Detailed Analysis Retail ECommerce Packaging httpstcoTNpOXVuF httpstcoLJEFwttv
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","With @easyuk you can fundraise for Rainy Day Trust for free! Next time you shop online, purchase through Easy Fundraising and the retailer will give you a cash reward to donate to the Rainy Day Trust. 

Find out more: https://t.co/BVgCC9oM2z https://t.co/d8tILYAfkx",2022-09-26T11:30:28.000Z,76934156,1574360754626650112,Hootsuite Inc.,en,With easyuk fundraise Rainy Trust free Next time shop online purchase through Easy Fundraising retailer will give cash reward donate Rainy Trust Find more httpstcoBVgCCoMz httpstcodtILYAfkx
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @barronsonline: The online retailer is holding its second two-day sales event next month, the first time it has had two Prime Days in on…",2022-09-26T11:28:28.000Z,3359231747,1574360250630578176,Twitter for iPhone,en,barronsonline online retailer holding second twoday sales event next month first time Prime Days
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","🌟Live brighter with a huge range of lighting products from Shopliance lighting retailer. Sale now on, shop online. #lighting #lights #decoration #home #indoor #outdoors #Online #shopping #shopliance

👉Visit us - @shopliance_au 

🛒Click Here to Buy - https://t.co/WSfz120l51 https://t.co/YxgAxe42PR",2022-09-26T11:05:53.000Z,1535155325846048768,1574354567286128640,Twitter Web App,en,🌟Live brighter with huge range lighting products from Shopliance lighting retailer Sale shop online lighting lights decoration home indoor outdoors Online shopping shopliance 👉Visit shoplianceau 🛒Click Here httpstcoWSfzl httpstcoYxgAxePR
"{'retweet_count': 72, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @RAGriggsauthor: Few women of her time lived to see their name in print. But Katherine was no ordinary woman. She was Sir Walter Raleigh…,2022-09-26T11:05:27.000Z,1055833706378788864,1574354456866586627,Twitter Web App,en,RAGriggsauthor women time lived their name print Katherine ordinary woman Walter Raleigh…
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Dear @help_delhivery @delhivery guys I am continuously following with your support team for POD from 5days but still didnt get the same. My Refund with one of online retailer is stuck due to delivery proof. Urgent pls.,2022-09-26T11:02:48.000Z,907288461299695616,1574353791058866176,Twitter for Android,en,Dear helpdelhivery delhivery guys continuously following with your support team from days still didnt same Refund with online retailer stuck delivery proof Urgent
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations GoDesi on being recognized as one of the top 100 D2C brands in India at D2C 100.

Tata 1mg GreenHonchos

#D2C100 #D2CIndia #IndianRetailer #Retailer #Ecommerce #Online #D2C #SocialCommerce #Commerce https://t.co/gPVnEsKbVS",2022-09-26T11:01:23.000Z,188264868,1574353434513383425,Hootsuite Inc.,en,Congratulations GoDesi being recognized brands India Tata GreenHonchos DCIndia IndianRetailer Retailer Ecommerce Online SocialCommerce Commerce httpstcogPVnEsKbVS
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","seconds of page load time. (Source: Portent)

2. Almost 70%of customers admit that page speed impacts their willingness to buy from an online retailer. (Source: Unbounce)

3. The average mobile web page loads in almost 15.3 seconds. (Source: Google)",2022-09-26T11:00:01.000Z,1481564336774688768,1574353091452870659,SocialChamp IO ,en,seconds page load time Source Portent Almost customers admit that page speed impacts their willingness from online retailer Source Unbounce average mobile page loads almost seconds Source Google
"{'retweet_count': 82, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @topship_africa: Meet Ozinna Anumudu, the founder of https://t.co/j4tWKkOQRN, a leading online fashion retailer in Lagos, Nigeria. 

Ozi…",2022-09-26T10:57:45.000Z,1323582050373427200,1574352520826298372,Twitter for iPhone,en,topshipafrica Meet Ozinna Anumudu founder httpstcojtWKkOQRN leading online fashion retailer Lagos Nigeria Ozi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#NavyCapital #barronsonline: The online retailer is holding its second two-day sales event next month, the first time it has had two Prime Days in one year. https://t.co/x2aDRHzmTQ",2022-09-26T10:54:49.000Z,3183637130,1574351780653240320,IFTTT,en,NavyCapital barronsonline online retailer holding second twoday sales event next month first time Prime Days year httpstcoxaDRHzmTQ
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","The online retailer is holding its second two-day sales event next month, the first time it has had two Prime Days in one year. https://t.co/erXZUazzho",2022-09-26T10:41:27.000Z,1359581517119426561,1574348416074801153,IFTTT,en,online retailer holding second twoday sales event next month first time Prime Days year httpstcoerXZUazzho
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Jingdong (#JD.com) is China’s largest #online retailer and its biggest overall #retailer, as well as the country’s biggest #Internet company by #revenue. More: https://t.co/INnDBo8acT",2022-09-26T10:38:58.000Z,1457090807454916616,1574347792981856257,Twitter Web App,en,Jingdong JDcom China’s largest online retailer biggest overall retailer well country’s biggest Internet company revenue More httpstcoINnDBoacT
"{'retweet_count': 249, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @TakeMeLeics: Win a £50 Online Shopping voucher of YOUR choice
To enter  
1] LIKE or ♥   
2] SHARE or Retweet
3] COMMENT or TWEET us whi…",2022-09-26T10:38:10.000Z,40239576,1574347592628043778,Twitter for iPhone,en,TakeMeLeics Online Shopping voucher YOUR choice enter LIKE SHARE Retweet COMMENT TWEET whi…
"{'retweet_count': 88, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @topship_africa: Meet Ozinna Anumudu, founder of https://t.co/j4tWKkOQRN, a leading online fashion retailer in Lagos, Nigeria. 

Ozinna…",2022-09-26T10:32:05.000Z,819836239117484032,1574346060356526085,Twitter for iPhone,en,topshipafrica Meet Ozinna Anumudu founder httpstcojtWKkOQRN leading online fashion retailer Lagos Nigeria Ozinna…
"{'retweet_count': 249, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @TakeMeLeics: Win a £50 Online Shopping voucher of YOUR choice
To enter  
1] LIKE or ♥   
2] SHARE or Retweet
3] COMMENT or TWEET us whi…",2022-09-26T10:27:42.000Z,309879040,1574344957623734273,Twitter Web App,en,TakeMeLeics Online Shopping voucher YOUR choice enter LIKE SHARE Retweet COMMENT TWEET whi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Amazon to Hold Second Prime Day in October to Boost Holiday Sales $AMZN

https://t.co/imjBw4275G will hold a second Prime Day next month, the first time the online retailer has had two of the sales events in one year.

The full take here ✅ https://t.co/9RLqenwbw8",2022-09-26T10:27:14.000Z,945705076127133696,1574344838786564096,donutsaloon,en,Amazon Hold Second Prime October Boost Holiday Sales AMZN httpstcoimjBwG will hold second Prime next month first time online retailer sales events year full take here httpstcoRLqenwbw
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}","The online retailer is holding its second two-day sales event next month, the first time it has had two Prime Days in one year. https://t.co/ZF1kK3lWjg",2022-09-26T10:23:32.000Z,20449296,1574343907793584129,SocialFlow,en,online retailer holding second twoday sales event next month first time Prime Days year httpstcoZFkKlWjg
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @tcga20llc: Budget Pet Care . com is a trusted online retailer of top quality brand name flea &amp; tick treatments for cats &amp; dogs at affor…,2022-09-26T10:09:29.000Z,2899758904,1574340373711060992,Twitter Web App,en,tcgallc Budget Care trusted online retailer quality brand name flea tick treatments cats dogs affor…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations GIVA on being recognized as one of the top 100 D2C brands in India at D2C 100.

Tata 1mg GreenHonchos

#D2C100 #D2CIndia #IndianRetailer #Retailer #Ecommerce #Online #D2C #SocialCommerce #Commerce https://t.co/xTTLFGHTSg",2022-09-26T10:06:56.000Z,188264868,1574339732426850305,Hootsuite Inc.,en,Congratulations GIVA being recognized brands India Tata GreenHonchos DCIndia IndianRetailer Retailer Ecommerce Online SocialCommerce Commerce httpstcoxTTLFGHTSg
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","🚨 @FrasersGroupPLC is set to make a mandatory cash offer to acquire the entire share of online fashion retailer @MySale_
https://t.co/kF6yayzBcK https://t.co/acrCG8tFDM",2022-09-26T10:04:46.000Z,1088832114945077251,1574339185384775682,Buffer,en,FrasersGroupPLC make mandatory cash offer acquire entire share online fashion retailer MySale httpstcokFyayzBcK httpstcoacrCGtFDM
"{'retweet_count': 249, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @TakeMeLeics: Win a £50 Online Shopping voucher of YOUR choice
To enter  
1] LIKE or ♥   
2] SHARE or Retweet
3] COMMENT or TWEET us whi…",2022-09-26T09:58:19.000Z,1318964965,1574337561933266944,Twitter for Android,en,TakeMeLeics Online Shopping voucher YOUR choice enter LIKE SHARE Retweet COMMENT TWEET whi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@OberoiMall Wrong Cococart, but if any Oberoi retailer wants to take orders online with a beautiful online storefront that charges no transaction fees, here’s a free 1-month trial to Cococart Premium 😉 

https://t.co/KPL0I6WgeP",2022-09-26T09:54:04.000Z,1420121016987127811,1574336493220679682,Twitter for iPhone,en,OberoiMall Wrong Cococart Oberoi retailer wants take orders online with beautiful online storefront that charges transaction fees here’s free month trial Cococart Premium httpstcoKPLIWgeP
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations Ellementry on being recognized as one of the top 100 D2C brands in India at D2C 100.

Tata 1mg GreenHonchos

#D2C100 #D2CIndia #IndianRetailer #Retailer #Ecommerce #Online #D2C #SocialCommerce #Commerce https://t.co/WCmFhUk4Wo",2022-09-26T09:38:42.000Z,188264868,1574332627359866881,Hootsuite Inc.,en,Congratulations Ellementry being recognized brands India Tata GreenHonchos DCIndia IndianRetailer Retailer Ecommerce Online SocialCommerce Commerce httpstcoWCmFhUkWo
"{'retweet_count': 82, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @topship_africa: Meet Ozinna Anumudu, the founder of https://t.co/j4tWKkOQRN, a leading online fashion retailer in Lagos, Nigeria. 

Ozi…",2022-09-26T09:26:28.000Z,1317384683404013568,1574329549080432640,Twitter for Android,en,topshipafrica Meet Ozinna Anumudu founder httpstcojtWKkOQRN leading online fashion retailer Lagos Nigeria Ozi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",https://t.co/zor4FCEkXK | Global Online Money https://t.co/w160CVHDfO,2022-09-26T09:08:55.000Z,358686636,1574325131937095682,WordPress.com,en,httpstcozorFCEkXK Global Online Money httpstcowCVHDfO
